"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
154,"No",36,"Sales","Sales Executive","Female","Married","Travel_Frequently",11,2,"Technical Degree",2,3,3,4,9738,0,"No",14,3,3,1,10,6,3,9,7,2,8,"35-44","6-10 years","7000-9999","11-20","2-3 years",0
155,"No",36,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",3,2,"Life Sciences",1,3,1,4,2835,5,"No",22,4,1,1,7,2,3,1,0,0,0,"35-44","1-2 years","Under 3000","1-5","0-1 years",0
158,"No",43,"Sales","Manager","Male","Married","Travel_Frequently",26,2,"Life Sciences",3,3,4,4,16959,1,"Yes",12,3,4,2,25,3,4,25,12,4,12,"35-44","10+ years","10000+","21+","4-5 years",0
159,"No",30,"Research & Development","Research Scientist","Male","Divorced","Travel_Frequently",23,3,"Life Sciences",1,1,1,3,2613,1,"No",25,4,3,3,10,2,2,10,7,0,9,"25-34","6-10 years","Under 3000","21+","0-1 years",0
160,"No",33,"Sales","Sales Executive","Male","Married","Non-Travel",22,2,"Marketing",3,3,2,2,6146,0,"No",13,3,1,1,8,2,4,7,7,0,7,"25-34","6-10 years","5000-6999","21+","0-1 years",0
161,"Yes",56,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",14,4,"Life Sciences",2,3,1,2,4963,9,"Yes",18,3,1,3,7,2,3,5,4,4,3,"55+","3-5 years","3000-4999","11-20","4-5 years",1
162,"No",51,"Research & Development","Research Director","Male","Single","Travel_Rarely",6,3,"Life Sciences",1,3,5,3,19537,7,"No",13,3,3,0,23,5,3,20,18,15,15,"45-54","10+ years","10000+","6-10","6+ years",0
163,"Yes",31,"Sales","Sales Executive","Male","Married","Travel_Rarely",6,4,"Life Sciences",2,1,2,3,6172,4,"Yes",18,3,2,0,12,3,2,7,7,7,7,"25-34","6-10 years","5000-6999","6-10","6+ years",1
164,"No",26,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",6,3,"Other",3,2,1,2,2368,1,"No",19,3,3,0,5,3,2,5,4,4,3,"25-34","3-5 years","Under 3000","6-10","4-5 years",0
165,"Yes",58,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",23,4,"Medical",4,3,3,4,10312,1,"No",12,3,4,1,40,3,2,40,10,15,6,"55+","10+ years","10000+","21+","6+ years",1
167,"Yes",19,"Sales","Sales Representative","Male","Single","Travel_Rarely",22,1,"Marketing",4,3,1,3,1675,1,"Yes",19,3,4,0,0,2,2,0,0,0,0,"Under 25","Under 1 year","Under 3000","21+","0-1 years",1
169,"No",22,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",2,1,"Technical Degree",3,3,1,4,2523,0,"No",14,3,3,1,3,2,3,2,1,2,1,"Under 25","1-2 years","Under 3000","1-5","2-3 years",0
170,"No",49,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",20,4,"Medical",3,3,2,1,6567,1,"No",14,3,3,0,16,2,2,15,11,5,11,"45-54","10+ years","5000-6999","11-20","4-5 years",0
171,"No",43,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",28,3,"Medical",2,4,1,3,4739,4,"No",12,3,4,0,18,2,3,3,2,1,2,"35-44","3-5 years","3000-4999","21+","0-1 years",0
174,"No",50,"Sales","Sales Executive","Female","Single","Travel_Frequently",12,3,"Marketing",3,3,3,4,9208,4,"No",11,3,4,0,16,3,3,2,2,2,1,"45-54","1-2 years","7000-9999","11-20","2-3 years",0
175,"Yes",31,"Sales","Sales Executive","Female","Married","Travel_Rarely",20,3,"Life Sciences",2,1,2,3,4559,3,"Yes",11,3,3,1,4,2,3,2,2,2,2,"25-34","1-2 years","3000-4999","11-20","2-3 years",1
176,"No",41,"Sales","Sales Executive","Male","Divorced","Travel_Rarely",9,1,"Life Sciences",3,3,3,3,8189,3,"Yes",13,3,3,1,12,2,3,9,7,0,7,"35-44","6-10 years","7000-9999","6-10","0-1 years",0
177,"No",26,"Human Resources","Human Resources","Female","Married","Travel_Rarely",25,1,"Life Sciences",3,3,1,3,2942,1,"No",23,4,4,1,8,3,3,8,7,5,7,"25-34","6-10 years","Under 3000","21+","4-5 years",0
178,"No",36,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",6,2,"Medical",2,3,2,2,4941,6,"No",20,4,4,2,7,0,3,3,2,0,1,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
179,"Yes",51,"Research & Development","Manufacturing Director","Male","Single","Travel_Frequently",8,4,"Life Sciences",1,1,3,4,10650,2,"No",15,3,4,0,18,2,3,4,2,0,3,"45-54","3-5 years","10000+","6-10","0-1 years",1
182,"No",39,"Sales","Sales Executive","Female","Married","Travel_Rarely",4,4,"Life Sciences",4,2,2,3,5902,4,"No",14,3,3,1,17,1,4,15,11,5,9,"35-44","10+ years","5000-6999","1-5","4-5 years",0
183,"No",25,"Sales","Sales Executive","Male","Married","Travel_Rarely",28,3,"Life Sciences",1,2,2,3,8639,2,"No",18,3,4,0,6,3,3,2,2,2,2,"25-34","1-2 years","7000-9999","21+","2-3 years",0
184,"No",30,"Human Resources","Human Resources","Male","Married","Travel_Rarely",9,3,"Human Resources",3,3,2,4,6347,0,"Yes",19,3,4,0,12,2,1,11,9,4,7,"25-34","10+ years","5000-6999","6-10","4-5 years",0
190,"Yes",32,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",9,3,"Medical",1,3,1,1,4200,7,"No",22,4,1,0,10,2,4,5,4,0,4,"25-34","3-5 years","3000-4999","6-10","0-1 years",1
192,"No",45,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",29,3,"Medical",3,3,1,4,3452,5,"No",13,3,2,0,9,2,2,6,5,0,3,"45-54","6-10 years","3000-4999","21+","0-1 years",0
193,"No",38,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",3,5,"Technical Degree",4,3,2,3,4317,3,"Yes",20,4,2,0,19,2,3,3,2,2,2,"35-44","3-5 years","3000-4999","1-5","2-3 years",0
194,"No",30,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",18,3,"Life Sciences",1,3,1,3,2632,1,"No",14,3,3,0,5,4,2,5,4,0,4,"25-34","3-5 years","Under 3000","11-20","0-1 years",0
195,"No",32,"Sales","Sales Executive","Male","Divorced","Travel_Frequently",9,2,"Medical",4,1,2,4,4668,0,"No",17,3,4,3,9,2,4,8,7,0,7,"25-34","6-10 years","3000-4999","6-10","0-1 years",0
197,"No",30,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",5,3,"Technical Degree",4,3,1,1,3204,5,"No",14,3,4,1,8,3,3,3,2,2,2,"25-34","3-5 years","3000-4999","1-5","2-3 years",0
198,"No",30,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",2,1,"Medical",2,2,1,4,2720,0,"No",13,3,4,0,6,3,3,5,3,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
199,"No",41,"Research & Development","Manager","Male","Divorced","Travel_Frequently",10,3,"Life Sciences",4,2,4,1,17181,4,"No",13,3,2,1,21,2,2,7,6,7,7,"35-44","6-10 years","10000+","6-10","6+ years",0
200,"No",41,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",9,4,"Life Sciences",3,3,1,1,2238,2,"No",21,4,4,1,7,2,3,5,0,1,4,"35-44","3-5 years","Under 3000","6-10","0-1 years",0
201,"No",19,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",3,1,"Medical",2,3,1,2,1483,1,"No",14,3,4,0,1,3,3,1,0,0,0,"Under 25","1-2 years","Under 3000","1-5","0-1 years",0
202,"No",40,"Research & Development","Research Scientist","Female","Divorced","Travel_Frequently",26,3,"Medical",2,3,2,2,5605,1,"No",11,3,1,1,20,2,3,20,7,2,13,"35-44","10+ years","5000-6999","21+","2-3 years",0
204,"No",35,"Sales","Sales Executive","Male","Married","Travel_Rarely",1,5,"Marketing",3,3,3,2,7295,1,"No",13,3,1,2,10,3,3,10,8,0,6,"35-44","6-10 years","7000-9999","1-5","0-1 years",0
205,"No",53,"Sales","Sales Representative","Male","Married","Travel_Rarely",6,2,"Marketing",2,3,2,3,2306,2,"Yes",20,4,4,1,13,3,1,7,7,4,5,"45-54","6-10 years","Under 3000","6-10","4-5 years",0
206,"No",45,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",9,3,"Life Sciences",2,3,2,2,2348,8,"No",18,3,3,1,20,2,1,17,9,0,15,"45-54","10+ years","Under 3000","6-10","0-1 years",0
207,"No",32,"Sales","Sales Executive","Female","Single","Travel_Frequently",8,3,"Marketing",2,3,3,4,8998,1,"No",14,3,4,0,9,2,3,9,8,3,7,"25-34","6-10 years","7000-9999","6-10","2-3 years",0
208,"No",29,"Research & Development","Manufacturing Director","Male","Married","Non-Travel",1,1,"Technical Degree",4,3,2,3,4319,1,"No",13,3,1,1,10,1,3,10,7,0,9,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
211,"No",51,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",7,4,"Medical",2,2,2,3,6132,2,"No",17,3,3,0,10,2,3,1,0,0,0,"45-54","1-2 years","5000-6999","6-10","0-1 years",0
214,"No",58,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",9,3,"Medical",2,2,1,2,3346,4,"Yes",20,4,2,1,9,3,2,1,0,0,0,"55+","1-2 years","3000-4999","6-10","0-1 years",0
215,"No",40,"Sales","Sales Executive","Male","Married","Travel_Rarely",4,4,"Marketing",3,2,3,4,10855,7,"No",11,3,1,1,15,2,2,12,11,2,11,"35-44","10+ years","10000+","1-5","2-3 years",0
216,"No",34,"Sales","Sales Representative","Female","Married","Travel_Frequently",2,4,"Marketing",3,3,1,3,2231,6,"No",18,3,4,1,6,3,3,4,3,1,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
217,"No",22,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",19,1,"Medical",3,3,1,4,2323,1,"No",24,4,1,2,2,6,3,2,2,2,2,"Under 25","1-2 years","Under 3000","11-20","2-3 years",0
218,"No",27,"Research & Development","Research Scientist","Male","Divorced","Non-Travel",9,3,"Medical",4,3,1,2,2024,6,"No",18,3,4,1,6,1,1,2,2,2,2,"25-34","1-2 years","Under 3000","6-10","2-3 years",0
221,"No",28,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",21,3,"Medical",3,3,1,4,2713,1,"No",11,3,3,1,5,2,1,5,2,0,2,"25-34","3-5 years","Under 3000","21+","0-1 years",0
223,"No",57,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",24,2,"Life Sciences",3,4,3,4,9439,3,"Yes",16,3,2,1,12,2,1,5,3,1,4,"55+","3-5 years","7000-9999","21+","0-1 years",0
224,"No",27,"Research & Development","Research Scientist","Male","Divorced","Non-Travel",3,3,"Medical",3,2,1,3,2566,1,"Yes",15,3,4,1,1,2,2,1,1,0,1,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
226,"No",50,"Research & Development","Manager","Female","Single","Travel_Rarely",11,3,"Life Sciences",3,3,5,2,19926,3,"No",15,3,2,0,21,5,3,5,4,4,4,"45-54","3-5 years","10000+","11-20","4-5 years",0
227,"No",41,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",14,3,"Life Sciences",1,3,1,3,2451,4,"No",12,3,1,1,13,2,3,9,8,1,8,"35-44","6-10 years","Under 3000","11-20","0-1 years",0
228,"No",30,"Sales","Sales Executive","Female","Married","Travel_Rarely",5,3,"Life Sciences",2,3,3,4,9419,2,"No",12,3,3,1,12,2,3,10,9,7,4,"25-34","6-10 years","7000-9999","1-5","6+ years",0
230,"No",38,"Sales","Sales Executive","Female","Single","Travel_Rarely",1,4,"Life Sciences",1,2,2,4,8686,4,"No",22,4,3,0,12,2,4,8,3,0,7,"35-44","6-10 years","7000-9999","1-5","0-1 years",0
231,"No",32,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",6,5,"Life Sciences",3,3,1,3,3038,3,"No",20,4,1,0,8,2,3,5,4,1,4,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
233,"No",27,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",17,3,"Technical Degree",3,3,1,2,3058,0,"Yes",16,3,4,1,6,3,2,5,2,1,1,"25-34","3-5 years","3000-4999","11-20","0-1 years",0
235,"Yes",19,"Sales","Sales Representative","Female","Single","Travel_Frequently",1,1,"Technical Degree",3,1,1,1,2325,0,"No",21,4,1,0,1,5,4,0,0,0,0,"Under 25","Under 1 year","Under 3000","1-5","0-1 years",1
238,"No",36,"Research & Development","Laboratory Technician","Male","Single","Travel_Frequently",3,2,"Medical",4,3,1,2,2088,4,"No",12,3,3,0,13,3,2,8,7,7,2,"35-44","6-10 years","Under 3000","1-5","6+ years",0
239,"No",30,"Research & Development","Laboratory Technician","Male","Divorced","Non-Travel",9,3,"Medical",3,3,2,1,3072,1,"No",11,3,3,2,12,4,3,12,9,6,10,"25-34","10+ years","3000-4999","6-10","6+ years",0
240,"No",45,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",4,2,"Life Sciences",3,3,2,1,5006,4,"Yes",11,3,1,1,9,3,4,5,4,0,3,"45-54","3-5 years","5000-6999","1-5","0-1 years",0
241,"No",56,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",8,3,"Life Sciences",3,3,1,1,4257,4,"Yes",18,3,3,1,19,3,3,2,2,2,2,"55+","1-2 years","3000-4999","6-10","2-3 years",0
242,"No",33,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",2,3,"Life Sciences",3,3,1,4,2500,0,"No",14,3,1,0,4,2,4,3,1,0,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
243,"Yes",19,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",2,3,"Life Sciences",2,2,1,4,1102,1,"No",22,4,3,0,1,3,2,1,0,1,0,"Under 25","1-2 years","Under 3000","1-5","0-1 years",1
244,"No",46,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",1,2,"Marketing",2,3,3,1,10453,1,"No",25,4,3,3,24,2,3,24,13,15,7,"45-54","10+ years","10000+","1-5","6+ years",0
245,"No",38,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",9,2,"Life Sciences",3,3,1,4,2288,1,"No",12,3,3,0,2,3,3,2,2,2,1,"35-44","1-2 years","Under 3000","6-10","2-3 years",0
246,"No",31,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",12,1,"Medical",3,3,1,4,3929,8,"Yes",23,4,3,1,7,0,3,4,2,0,2,"25-34","3-5 years","3000-4999","11-20","0-1 years",0
247,"No",34,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",27,2,"Medical",4,3,1,2,2311,2,"No",15,3,4,0,9,3,3,3,2,1,2,"25-34","3-5 years","Under 3000","21+","0-1 years",0
248,"Yes",41,"Sales","Sales Representative","Female","Single","Travel_Rarely",20,2,"Marketing",2,3,1,2,3140,1,"Yes",22,4,4,0,4,5,2,4,3,0,2,"35-44","3-5 years","3000-4999","11-20","0-1 years",1
249,"No",50,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",1,3,"Medical",3,2,1,3,3690,2,"No",15,3,4,1,5,2,2,3,2,0,2,"45-54","3-5 years","3000-4999","1-5","0-1 years",0
250,"No",53,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",13,2,"Medical",4,4,2,1,4450,1,"No",11,3,3,2,5,3,3,4,2,1,3,"45-54","3-5 years","3000-4999","11-20","0-1 years",0
252,"No",33,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",14,3,"Medical",4,3,1,2,2756,1,"No",13,3,4,1,8,5,3,8,7,1,6,"25-34","6-10 years","Under 3000","11-20","0-1 years",0
253,"No",40,"Research & Development","Manager","Female","Married","Travel_Rarely",4,1,"Medical",4,3,5,3,19033,1,"No",14,3,2,1,21,2,3,20,8,9,9,"35-44","10+ years","10000+","1-5","6+ years",0
254,"No",55,"Research & Development","Research Director","Male","Single","Travel_Rarely",14,4,"Medical",3,4,5,2,18722,8,"No",11,3,4,0,36,3,3,24,15,2,15,"55+","10+ years","10000+","11-20","2-3 years",0
256,"No",34,"Research & Development","Manufacturing Director","Male","Married","Travel_Frequently",2,1,"Life Sciences",4,2,2,3,9547,1,"No",17,3,3,0,10,2,2,10,9,1,9,"25-34","6-10 years","7000-9999","1-5","0-1 years",0
258,"No",51,"Research & Development","Healthcare Representative","Female","Single","Travel_Rarely",3,3,"Medical",4,3,4,2,13734,3,"No",18,3,3,0,21,6,3,7,7,1,0,"45-54","6-10 years","10000+","1-5","0-1 years",0
259,"No",52,"Research & Development","Manager","Male","Married","Travel_Rarely",1,4,"Life Sciences",3,2,5,3,19999,0,"No",14,3,1,1,34,5,3,33,18,11,9,"45-54","10+ years","10000+","1-5","6+ years",0
260,"No",27,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",9,3,"Medical",4,3,1,2,2279,1,"No",16,3,4,0,7,2,2,7,7,0,3,"25-34","6-10 years","Under 3000","6-10","0-1 years",0
261,"Yes",35,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",23,2,"Life Sciences",2,2,2,3,5916,3,"Yes",13,3,1,0,8,1,3,1,0,0,1,"35-44","1-2 years","5000-6999","21+","0-1 years",1
262,"No",43,"Research & Development","Research Scientist","Male","Divorced","Non-Travel",7,3,"Medical",4,4,1,4,2089,4,"No",14,3,4,3,7,3,4,5,4,2,2,"35-44","3-5 years","Under 3000","6-10","2-3 years",0
264,"No",45,"Research & Development","Manager","Male","Married","Non-Travel",2,2,"Medical",1,2,4,4,16792,9,"No",23,4,4,1,22,1,3,20,8,11,8,"45-54","10+ years","10000+","1-5","6+ years",0
267,"No",37,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",21,3,"Life Sciences",2,4,1,1,3564,1,"Yes",12,3,1,1,8,3,2,8,7,1,7,"35-44","6-10 years","3000-4999","21+","0-1 years",0
269,"No",35,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",2,3,"Medical",2,3,2,2,4425,5,"No",11,3,4,0,10,5,3,6,2,1,2,"35-44","6-10 years","3000-4999","1-5","0-1 years",0
270,"No",42,"Research & Development","Manufacturing Director","Female","Divorced","Non-Travel",21,2,"Medical",3,3,2,3,5265,2,"No",16,3,2,1,11,5,3,5,3,0,2,"35-44","3-5 years","5000-6999","21+","0-1 years",0
271,"No",38,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",2,4,"Life Sciences",4,3,2,3,6553,9,"No",14,3,2,0,14,3,3,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
273,"No",38,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",29,3,"Technical Degree",4,3,2,4,6261,3,"No",18,3,1,1,9,3,1,7,7,1,7,"35-44","6-10 years","5000-6999","21+","0-1 years",0
274,"No",27,"Research & Development","Manufacturing Director","Male","Married","Travel_Frequently",1,1,"Technical Degree",3,2,2,1,4298,5,"No",19,3,3,1,6,1,3,2,2,2,0,"25-34","1-2 years","3000-4999","1-5","2-3 years",0
275,"No",49,"Research & Development","Manufacturing Director","Male","Divorced","Non-Travel",18,4,"Life Sciences",4,3,2,4,6804,1,"Yes",15,3,1,2,7,0,3,7,7,1,7,"45-54","6-10 years","5000-6999","11-20","0-1 years",0
277,"No",34,"Research & Development","Research Scientist","Male","Divorced","Travel_Frequently",10,4,"Medical",4,3,1,3,3815,1,"Yes",17,3,4,1,5,4,4,5,3,2,0,"25-34","3-5 years","3000-4999","6-10","2-3 years",0
281,"No",40,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",19,2,"Medical",3,3,2,4,2741,8,"Yes",15,3,3,1,15,2,4,7,2,3,7,"35-44","6-10 years","Under 3000","11-20","2-3 years",0
282,"Yes",38,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",29,1,"Medical",2,3,2,1,6673,7,"Yes",19,3,2,0,17,2,3,1,0,0,0,"35-44","1-2 years","5000-6999","21+","0-1 years",1
283,"Yes",29,"Sales","Sales Executive","Female","Married","Travel_Rarely",27,3,"Marketing",2,3,3,4,7639,1,"No",22,4,4,3,10,3,2,10,4,1,9,"25-34","6-10 years","7000-9999","21+","0-1 years",1
284,"No",22,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",5,3,"Life Sciences",4,4,1,2,2328,1,"Yes",16,3,1,1,4,2,2,4,2,2,2,"Under 25","3-5 years","Under 3000","1-5","2-3 years",0
286,"No",36,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",18,1,"Medical",2,3,1,4,2153,1,"No",13,3,1,0,8,2,3,8,1,1,7,"35-44","6-10 years","Under 3000","11-20","0-1 years",0
287,"No",40,"Research & Development","Healthcare Representative","Male","Married","Non-Travel",9,5,"Life Sciences",4,2,2,4,4876,9,"No",14,3,4,1,5,5,1,3,2,0,2,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
288,"No",46,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",1,4,"Medical",4,3,3,1,9396,7,"No",16,3,3,1,17,3,3,4,2,0,3,"45-54","3-5 years","7000-9999","1-5","0-1 years",0
291,"Yes",32,"Sales","Sales Executive","Male","Married","Travel_Rarely",4,4,"Medical",4,1,3,4,10400,1,"No",11,3,3,0,14,2,2,14,8,9,8,"25-34","10+ years","10000+","1-5","6+ years",1
292,"No",30,"Research & Development","Manufacturing Director","Male","Single","Non-Travel",1,1,"Life Sciences",3,2,3,3,8474,1,"No",22,4,3,0,12,2,3,11,8,5,8,"25-34","10+ years","7000-9999","1-5","4-5 years",0
293,"No",27,"Sales","Sales Executive","Female","Single","Travel_Frequently",20,3,"Life Sciences",4,3,2,3,9981,1,"No",14,3,4,0,7,2,3,7,7,0,7,"25-34","6-10 years","7000-9999","11-20","0-1 years",0
296,"No",51,"Research & Development","Research Director","Male","Married","Travel_Rarely",8,4,"Life Sciences",2,2,3,2,12490,5,"No",16,3,4,2,16,5,1,10,9,4,7,"45-54","6-10 years","10000+","6-10","4-5 years",0
297,"Yes",30,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",3,3,"Technical Degree",4,3,1,1,2657,5,"Yes",11,3,3,0,8,5,3,5,2,0,4,"25-34","3-5 years","Under 3000","1-5","0-1 years",1
298,"No",41,"Sales","Manager","Female","Single","Travel_Rarely",6,3,"Life Sciences",4,3,3,4,13591,3,"Yes",18,3,3,0,16,3,3,1,0,0,0,"35-44","1-2 years","10000+","6-10","0-1 years",0
299,"Yes",30,"Sales","Sales Executive","Female","Single","Travel_Frequently",26,4,"Marketing",3,2,2,1,6696,5,"No",15,3,3,0,9,5,2,6,3,0,1,"25-34","6-10 years","5000-6999","21+","0-1 years",1
300,"Yes",29,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",1,3,"Technical Degree",3,3,1,3,2058,0,"No",14,3,4,0,7,1,2,6,2,1,5,"25-34","6-10 years","Under 3000","1-5","0-1 years",1
302,"No",45,"Sales","Sales Executive","Female","Single","Non-Travel",6,3,"Medical",4,2,3,4,8865,6,"No",12,3,4,0,23,2,3,19,7,12,8,"45-54","10+ years","7000-9999","6-10","6+ years",0
303,"No",54,"Sales","Sales Executive","Female","Married","Travel_Rarely",3,3,"Marketing",4,3,2,1,5940,2,"No",14,3,4,1,16,4,3,6,2,0,5,"45-54","6-10 years","5000-6999","1-5","0-1 years",0
